Time,AccelerationX,AccelerationY,AccelerationZ,RotationX,RotationY,RotationZ,TemperatureMPU,Pressure,Humidity,Gas,BME_Temperature,UV_Voltage,UV_Index,Longitude,Latitude,datatime,speed,AltitudeGPS,AltitudeBME,AccelerationAbsolute,GyroscopeAbsolute
107073,1.661576033,-0.543483794,8.468291283,0.518669248,-0.066482387,-0.252073497,22.12999916,991.2800293,38.54324722,147.6759949,19.08380508,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.646858782327513,0.5804987032646259
108333,2.786850691,-0.493205547,8.190564156,-0.786330819,0.854678452,0.29817152,21.98882294,991.2800293,38.460495,147.1560059,19.10428238,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.665744611922898,1.1990403114830785
108800,2.140416384,-0.146046311,8.322244644,0.370382845,-1.055857539,-0.172534451,22.03588295,991.2800293,38.460495,147.1560059,19.10428238,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.5943276488879,1.1321602056755493
109269,2.099714994,-0.37349546,8.367734909,-0.310295552,0.863071978,-0.096859112,22.12999916,991.2800293,38.460495,147.1560059,19.10428238,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.635235342592942,0.922257153063746
110526,2.659958124,-0.304063618,8.212111473,-0.052093416,-0.292042881,0.394764155,22.12999916,991.2800293,38.39260483,150.2019958,19.10333633,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.637511606371541,0.49380310489727913
110996,3.471592426,-3.847482204,7.520187378,-0.475635529,-3.375546694,0.690004587,22.17705917,991.2800293,38.39260483,150.2019958,19.10333633,0.038709678,0.387096763,0,0,0,0,0,25899.4043,9.13281399583873,3.4780240036409293
111466,1.982398987,0.01436521,8.185775757,-0.965793252,2.175932646,-0.587949455,22.03588295,991.2800293,38.39260483,150.2019958,19.10333633,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.422412768726423,2.4521672143579636
112724,2.956839085,-0.316034615,8.530540466,1.149652362,-0.52719599,-0.332012266,21.98882294,991.2999878,38.33481216,150.2019958,19.14712906,0.038709678,0.387096763,0,0,0,0,0,25899.33398,9.033985604068967,1.3076193292004803
113194,2.298433542,-1.213860273,7.991845131,1.011624813,0.229424208,0.078739658,22.17705917,991.2999878,38.33481216,150.2019958,19.14712906,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.403918259195926,1.0402981126752415
113663,2.473210335,0.270544797,8.46589756,-2.179263353,-0.45764932,0.388369083,22.08294106,991.2999878,38.33481216,150.2019958,19.14712906,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.82390986721581,2.260411955032871
114920,2.097320795,-0.385466486,8.42759037,2.222297192,0.008127105,-0.540252686,21.98882294,991.2999878,38.27361298,151.0180054,19.15626526,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.693193795923646,2.2870382209611146
115389,2.604891539,-0.466869324,8.046912193,-1.235186934,-0.022249617,0.559837699,22.03588295,991.2999878,38.27361298,151.0180054,19.15626526,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.470904481665348,1.3563185675211342
115860,2.248155355,0.785298169,8.190564156,-0.36878407,-0.069413476,-0.302568167,21.98882294,991.2999878,38.27361298,151.0180054,19.15626526,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.529726660802321,0.48204503588140746
117120,2.422932148,-1.029506683,8.228871346,1.357892871,0.119375192,-0.142290965,21.98882294,991.2999878,38.1979866,152.6759949,19.13326645,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.639722671079982,1.3705364658768808
117588,2.353500366,-0.217872351,8.480262756,-1.759984612,-0.395030618,0.287912726,21.98882294,991.2999878,38.1979866,152.6759949,19.13326645,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.803481626316552,1.8266058035128991
118058,2.384624958,-0.20350714,8.281543732,1.485528231,0.285781026,-0.472171485,22.03588295,991.2999878,38.1979866,152.6759949,19.13326645,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.620430263703543,1.584743143593531
119316,2.408566952,-0.536301196,8.164227486,-0.726909637,-0.038903523,0.435266435,21.89470673,991.3099976,38.16250229,152.9559937,19.11656952,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.528975564407222,0.8481556307087117
119787,2.207453966,0.248996973,8.159439087,-0.703327715,0.02797856,-0.249408886,21.94176483,991.3099976,38.16250229,152.9559937,19.11656952,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.456435343514174,0.7467646663591924
120256,2.559401512,-0.653617084,8.152256966,1.219998479,0.1672052,-0.160943344,21.98882294,991.3099976,38.16250229,152.9559937,19.11656952,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.56954170488831,1.2418762529524654
121514,2.41574955,-0.378283858,8.271966934,-1.362289429,-0.386903495,0.352529854,21.98882294,991.3200073,38.13096237,154.0850067,19.13988113,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.62579744271438,1.4593848364189694
121984,2.104503393,-0.055066638,8.358158112,0.905972421,-0.017852986,-0.600739658,22.03588295,991.3200073,38.13096237,154.0850067,19.13988113,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.619209586206878,1.087194965687238
122454,2.365471363,-1.043871999,8.104372978,-0.161609486,0.059554365,0.282183766,21.94176483,991.3200073,38.13096237,154.0850067,19.13988113,0.041935485,0.419354856,0,0,0,0,0,25899.33398,8.50681990440646,0.3305934454124585
123714,2.365471363,0.02873042,8.080430984,-0.741565049,-0.330147028,-0.00319755,21.98882294,991.2999878,38.11500931,154.6569977,19.03497505,0.041935485,0.419354856,0,0,0,0,0,25899.29883,8.419598867724854,0.8117425739245216
124183,2.145204782,-0.521935999,8.35097599,0.945142388,0.185058191,-0.276454836,21.94176483,991.2999878,38.11500931,154.6569977,19.03497505,0.041935485,0.419354856,0,0,0,0,0,25899.29883,8.637888673126337,1.0019820078216584
124652,2.542642117,-0.476446152,8.125920296,-0.866136253,0.131232768,0.431802452,22.03588295,991.2999878,38.11500931,154.6569977,19.03497505,0.041935485,0.419354856,0,0,0,0,0,25899.29883,8.527755304172523,0.9766613567204521
125912,2.288856745,-0.129286885,8.310274124,0.365986198,-0.317490041,-0.301635504,21.98882294,991.2800293,38.11649323,156.1029968,19.05009651,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.6206865337854,0.5707274310334233
126383,2.23139596,-0.577002585,8.295908928,0.220098019,0.178263396,0.043699846,21.98882294,991.2800293,38.11649323,156.1029968,19.05009651,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.6101199094479,0.28658446025840423
126851,2.274491549,-0.158017308,8.288725853,-0.711188376,-0.084601834,0.287113339,21.89470673,991.2800293,38.11649323,156.1029968,19.05009651,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.596584062422155,0.7716089980718277
128112,2.331952572,-0.316034615,8.259995461,0.684009135,-0.049428791,-0.408620209,21.89470673,991.2700195,38.17731094,156.1029968,19.09514618,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.588678925869578,0.7982995536428501
